state,Latitude,Longitude,group
AL,32.6010112,-86.6807365,1
AK,61.3025006,-158.7750198,54
AZ,34.1682185,-111.930907,2
AR,34.7519275,-92.1313784,3
CA,37.2718745,-119.2704153,4
CO,38.9979339,-105.550567,5
CT,41.5187835,-72.757507,6
DE,39.145251,-75.4189206,7
DC,38.8993487,-77.0145666,8
FL,27.9757279,-83.8330166,9
GA,32.6781248,-83.2229757,10
HI,20.46,-157.505,57
ID,45.4945756,-114.1424303,11
IL,39.739318,-89.504139,12
IN,39.7662195,-86.441277,13
IA,41.9383166,-93.389798,14
KS,38.4987789,-98.3200779,15
KY,37.8222935,-85.7682399,16
LA,30.9733766,-91.4299097,17
ME,45.2185133,-69.0148656,18
MD,38.8063524,-77.2684162,19
MA,42.0629398,-71.718067,20
MI,44.9435598,-86.4158049,23
MN,46.4418595,-93.3655146,25
MS,32.5851062,-89.8772196,26
MO,38.3046615,-92.437099,27
MT,46.6797995,-110.044783,28
NE,41.5008195,-99.680902,29
NV,38.502032,-117.0230604,30
NH,44.0012306,-71.5799231,31
NJ,40.1430058,-74.7311156,32
NM,34.1662325,-106.0260685,33
NY,40.7056258,-73.97968,34
NC,35.2145629,-79.8912675,38
ND,47.4678819,-100.3022655,41
OH,40.1903624,-82.6692525,42
OK,35.3097654,-98.7165585,43
OR,44.1419049,-120.5380993,44
PA,40.9945928,-77.6046984,45
RI,41.5827282,-71.5064508,46
SC,33.62505,-80.9470381,47
SD,44.2126995,-100.2471641,48
TN,35.830521,-85.9785989,49
TX,31.1693363,-100.0768425,50
UT,39.4997605,-111.547028,51
VT,43.8717545,-72.4477828,52
VA,38.0033855,-79.4587861,53
WA,38.8993487,-77.0145665,56
WV,38.9201705,-80.1816905,61
WI,44.7862968,-89.8267049,62
WY,43.000325,-107.5545669,63
Alabama,32.6010112,-86.6807365,1
Alaska,61.3025006,-158.7750198,54
Arizona,34.1682185,-111.930907,2
Arkansas,34.7519275,-92.1313784,3
California,37.2718745,-119.2704153,4
Colorado,38.9979339,-105.550567,5
Connecticut,41.5187835,-72.757507,6
Delaware,39.145251,-75.4189206,7
District of Columbia,38.8993487,-77.0145666,8
Florida,27.9757279,-83.8330166,9
Georgia,32.6781248,-83.2229757,10
Hawaii,20.46,-157.505,57
Idaho,45.4945756,-114.1424303,11
Illinois,39.739318,-89.504139,12
Indiana,39.7662195,-86.441277,13
Iowa,41.9383166,-93.389798,14
Kansas,38.4987789,-98.3200779,15
Kentucky,37.8222935,-85.7682399,16
Louisiana,30.9733766,-91.4299097,17
Maine,45.2185133,-69.0148656,18
Maryland,38.8063524,-77.2684162,19
Massachusetts,42.0629398,-71.718067,20
Michigan,44.9435598,-86.4158049,23
Minnesota,46.4418595,-93.3655146,25
Mississippi,32.5851062,-89.8772196,26
Missouri,38.3046615,-92.437099,27
Montana,46.6797995,-110.044783,28
Nebraska,41.5008195,-99.680902,29
Nevada,38.502032,-117.0230604,30
New Hampshire,44.0012306,-71.5799231,31
New jersey,40.1430058,-74.7311156,32
New Mexico,34.1662325,-106.0260685,33
New York,40.7056258,-73.97968,34
North Carolina,35.2145629,-79.8912675,38
North Dakota,47.4678819,-100.3022655,41
Ohio,40.1903624,-82.6692525,42
Oklahoma,35.3097654,-98.7165585,43
Oregon,44.1419049,-120.5380993,44
Pennsylvania,40.9945928,-77.6046984,45
Rhode island,41.5827282,-71.5064508,46
South Carolina,33.62505,-80.9470381,47
South Dakota,44.2126995,-100.2471641,48
Tennessee,35.830521,-85.9785989,49
Texas,31.1693363,-100.0768425,50
Utah,39.4997605,-111.547028,51
Vermont,43.8717545,-72.4477828,52
Virginia,38.0033855,-79.4587861,53
Washington,38.8993487,-77.0145665,56
west Virginia,38.9201705,-80.1816905,61
Wisconsin,44.7862968,-89.8267049,62
Wyoming,43.000325,-107.5545669,63
